"","k = 2","k = 5","k = 10"
"1",117332.84393709,121313.788522462,114319.051975402
"2",126797.857067327,114716.58837885,119526.14747794
"3",128150.300941457,116184.045853735,115424.247685999
"4",122731.664268796,118977.603663182,118160.053093062
"5",120707.597887938,117555.842063846,119279.494636981
"6",139440.893122419,117060.901992261,119344.274970779
"7",127041.077111746,118238.851648727,119921.158695708
"8",133006.685930808,119861.248632639,116005.367330106
"9",121939.184263562,121263.031185935,118751.26539574
"10",116937.847727959,125199.474236308,113775.815923867
"11",114954.905978234,122194.915138643,117994.59761673
"12",129957.739062439,123273.910025711,122679.538462539
"13",118964.39972519,117609.481829412,117993.397082808
"14",127740.028841968,120238.424261866,116910.506731128
"15",117454.819134247,121982.85482186,118489.401978388
"16",127383.791798796,125447.016886219,118826.550404194
"17",121627.284321793,118813.964876384,116216.049059129
"18",139841.210870027,116908.252907962,118754.190824315
"19",122525.040089951,121410.989037214,122038.285205133
"20",119641.161227397,117120.206395801,119073.805796083
"21",126800.691523207,117593.395865625,120053.185197457
"22",122593.939717712,115167.70960306,118083.33341055
"23",125049.416455693,117446.61250509,118123.449976668
"24",120905.67816061,116407.257866991,119520.364333923
"25",125075.08562901,120299.246636809,115196.867709651
"26",123323.622775139,118712.913292291,116898.800122905
"27",125656.679646647,116506.41711912,118517.269781033
"28",121009.855327655,117896.991753225,120148.498307476
"29",128155.45549309,123672.764199044,120170.509189407
"30",127704.234376636,117466.665052921,120501.179263945
